         37958160 function calls (37958134 primitive calls) in 31.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      937   17.145    0.018   26.591    0.028 vae_model.py:108(optimize)
 12179402    6.230    0.000    6.230    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 12179402    2.832    0.000    9.654    0.000 <__array_function__ internals>:2(can_cast)
     5622    2.198    0.000    2.399    0.000 functionals.py:44(lrelu)
      937    0.703    0.001   30.528    0.033 vae_model.py:145(backward)
 12179402    0.592    0.000    0.592    0.000 multiarray.py:469(can_cast)
   609051    0.357    0.000    0.457    0.000 numeric.py:1786(isscalar)
    14055    0.294    0.000    0.298    0.000 {method 'dot' of 'cupy.core.core.ndarray' objects}
    14992    0.245    0.000    0.263    0.000 {built-in method cupy.core.core.matmul}
        1    0.155    0.155   31.636   31.636 train_mnist.py:16(train)
     1874    0.121    0.000    0.215    0.000 functionals.py:22(sigmoid)
      937    0.113    0.000    0.187    0.000 functionals.py:11(BCE)
   613944    0.091    0.000    0.100    0.000 {built-in method builtins.isinstance}
        1    0.059    0.059    0.059    0.059 {built-in method cupy.core.core.array}
     4685    0.056    0.000    0.057    0.000 {method 'fill' of 'cupy.core.core.ndarray' objects}
     1874    0.051    0.000    0.073    0.000 functionals.py:33(relu)
       41    0.044    0.001    0.044    0.001 {method 'load' of 'cupy.cuda.function.Module' objects}
      937    0.044    0.000    0.124    0.000 vae_model.py:88(reparametrize)
    34669    0.038    0.000    0.038    0.000 {method 'reshape' of 'cupy.core.core.ndarray' objects}
      937    0.037    0.000    0.254    0.000 vae_model.py:55(encode)
    29984    0.037    0.000    0.071    0.000 dims.py:138(expand_dims)
      937    0.028    0.000    0.065    0.000 distributions.py:481(normal)
      937    0.027    0.000    0.179    0.000 vae_model.py:70(decode)
     1874    0.027    0.000    0.027    0.000 {method 'sum' of 'cupy.core.core.ndarray' objects}
     4685    0.019    0.000    0.108    0.000 basic.py:153(ones_like)
        2    0.015    0.007    0.015    0.007 {method 'astype' of 'numpy.ndarray' objects}
        1    0.014    0.014    0.095    0.095 functionals.py:97(load_mnist)
