         912517 function calls (884899 primitive calls) in 2.368 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      801    1.250    0.002    1.250    0.002 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
        1    0.167    0.167    0.167    0.167 {built-in method _pywrap_tensorflow_internal.TF_NewSessionRef}
     6701    0.135    0.000    0.135    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      100    0.104    0.001    0.200    0.002 vae_tf_gpu_mnist.py:178(evaluate)
        1    0.064    0.064    2.113    2.113 vae_tf_gpu_mnist.py:191(train_mnist)
   6762/6    0.044    0.000    0.227    0.038 {method 'read' of '_io.BufferedReader' objects}
     1081    0.041    0.000    0.041    0.000 {built-in method numpy.array}
     6705    0.031    0.000    0.031    0.000 {built-in method zlib.crc32}
      489    0.019    0.000    0.204    0.000 op_def_library.py:356(_apply_op_helper)
        2    0.018    0.009    0.253    0.126 __init__.py:64(parse_idx)
      801    0.013    0.000    1.445    0.002 session.py:1091(_run)
90783/90735    0.012    0.000    0.024    0.000 {built-in method builtins.isinstance}
     3040    0.008    0.000    0.027    0.000 ops.py:5472(get_controller)
     6703    0.008    0.000    0.189    0.000 gzip.py:438(read)
      616    0.008    0.000    0.008    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
      646    0.008    0.000    0.035    0.000 inspect.py:1089(getfullargspec)
      616    0.007    0.000    0.073    0.000 ops.py:1637(__init__)
      646    0.007    0.000    0.022    0.000 inspect.py:2102(_signature_from_function)
      801    0.007    0.000    0.070    0.000 session.py:461(__init__)
     8247    0.006    0.000    0.007    0.000 contextlib.py:59(__init__)
     9040    0.006    0.000    0.015    0.000 abc.py:180(__instancecheck__)
      616    0.006    0.000    0.029    0.000 ops.py:3462(_create_op_helper)
    18033    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
      616    0.006    0.000    0.009    0.000 ops.py:1532(_NodeDef)
     6228    0.005    0.000    0.010    0.000 inspect.py:2452(__init__)
      398    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      616    0.005    0.000    0.029    0.000 ops.py:1567(_create_c_op)
    19457    0.005    0.000    0.005    0.000 _weakrefset.py:70(__contains__)
16028/8380    0.005    0.000    0.054    0.000 {built-in method builtins.next}
     6758    0.004    0.000    0.010    0.000 gzip.py:80(read)
8246/4422    0.004    0.000    0.018    0.000 contextlib.py:85(__exit__)
      801    0.004    0.000    0.015    0.000 session.py:523(build_results)
      616    0.004    0.000    0.123    0.000 ops.py:3359(_create_op_internal)
     5800    0.004    0.000    0.010    0.000 object_identity.py:117(__getitem__)
 2201/801    0.004    0.000    0.036    0.000 session.py:247(for_fetch)
      935    0.004    0.000    0.015    0.000 ops.py:2365(get_attr)
      646    0.004    0.000    0.044    0.000 tf_inspect.py:260(getcallargs)
      950    0.004    0.000    0.004    0.000 {built-in method tensorflow_core.python._tf_stack.extract_stack}
     5601    0.004    0.000    0.005    0.000 pywrap_tensorflow_internal.py:39(_swig_setattr_nondynamic)
     3410    0.004    0.000    0.006    0.000 _collections_abc.py:742(__iter__)
37889/36420    0.003    0.000    0.004    0.000 {built-in method builtins.len}
     8247    0.003    0.000    0.011    0.000 contextlib.py:157(helper)
      801    0.003    0.000    1.275    0.002 session.py:1318(_do_run)
      700    0.003    0.000    0.010    0.000 session.py:329(_uniquify_fetches)
     5093    0.003    0.000    0.006    0.000 ops.py:5452(get_default)
     2484    0.003    0.000    0.007    0.000 ops.py:3609(_as_graph_element_locked)
     1232    0.003    0.000    0.003    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
  646/642    0.003    0.000    0.175    0.000 deprecation.py:473(new_func)
     1134    0.003    0.000    0.007    0.000 pywrap_tensorflow_internal.py:1457(__init__)
     2136    0.003    0.000    0.008    0.000 ops.py:4030(name_scope)
    30808    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1541    0.003    0.000    0.003    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
      801    0.003    0.000    1.448    0.002 session.py:846(run)
      646    0.003    0.000    0.004    0.000 inspect.py:2732(__init__)
     8000    0.003    0.000    0.004    0.000 object_identity.py:114(_wrap_key)
     6701    0.003    0.000    0.033    0.000 gzip.py:489(_add_read_data)
      700    0.003    0.000    0.004    0.000 session.py:381(build_results)
