         931899 function calls (884149 primitive calls) in 4.011 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      801    2.801    0.003    2.801    0.003 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
        1    0.179    0.179    0.179    0.179 {built-in method _pywrap_tensorflow_internal.TF_NewSessionRef}
     6701    0.133    0.000    0.133    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      100    0.086    0.001    0.186    0.002 vae_tf_mnist.py:168(evaluate)
        1    0.076    0.076    3.759    3.759 vae_tf_mnist.py:181(train_mnist)
     1080    0.055    0.000    0.055    0.000 {built-in method numpy.array}
   6762/6    0.044    0.000    0.226    0.038 {method 'read' of '_io.BufferedReader' objects}
     6705    0.031    0.000    0.031    0.000 {built-in method zlib.crc32}
     8466    0.021    0.000    0.068    0.000 ops.py:5377(get_controller)
  577/542    0.020    0.000    0.161    0.000 op_def_library.py:297(_apply_op_helper)
      801    0.020    0.000    3.080    0.004 session.py:1094(_run)
        2    0.018    0.009    0.252    0.126 __init__.py:64(parse_idx)
80498/80450    0.012    0.000    0.028    0.000 {built-in method builtins.isinstance}
    16291    0.012    0.000    0.015    0.000 contextlib.py:59(__init__)
      801    0.010    0.000    0.023    0.000 session.py:527(build_results)
      703    0.009    0.000    0.063    0.000 ops.py:1646(__init__)
32333/13993    0.008    0.000    0.099    0.000 {built-in method builtins.next}
      703    0.008    0.000    0.008    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
     9056    0.008    0.000    0.020    0.000 abc.py:180(__instancecheck__)
16290/7120    0.008    0.000    0.033    0.000 contextlib.py:85(__exit__)
     6703    0.008    0.000    0.187    0.000 gzip.py:438(read)
    25014    0.008    0.000    0.010    0.000 {built-in method builtins.getattr}
    19883    0.007    0.000    0.007    0.000 _weakrefset.py:70(__contains__)
      801    0.007    0.000    0.064    0.000 session.py:464(__init__)
     8345    0.007    0.000    0.012    0.000 ops.py:5357(get_default)
     2663    0.007    0.000    0.081    0.000 ops.py:5540(executing_eagerly_outside_functions)
    16291    0.006    0.000    0.021    0.000 contextlib.py:157(helper)
      703    0.006    0.000    0.030    0.000 ops.py:3358(_create_op_helper)
      703    0.006    0.000    0.009    0.000 ops.py:1552(_NodeDef)
      703    0.005    0.000    0.026    0.000 ops.py:1579(_create_c_op)
 2201/801    0.005    0.000    0.033    0.000 session.py:247(for_fetch)
     8467    0.005    0.000    0.007    0.000 ops.py:5187(get_controller)
     2825    0.005    0.000    0.015    0.000 ops.py:5398(_get_outer_context_and_inner_device_stack)
     6758    0.005    0.000    0.010    0.000 gzip.py:80(read)
      700    0.004    0.000    0.006    0.000 session.py:384(build_results)
      703    0.004    0.000    0.116    0.000 ops.py:3255(_create_op_internal)
      398    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4233    0.004    0.000    0.008    0.000 context.py:213(push)
      992    0.004    0.000    0.004    0.000 {built-in method tensorflow_core.python._tf_stack.extract_stack}
     2486    0.004    0.000    0.008    0.000 ops.py:3507(_as_graph_element_locked)
     7109    0.004    0.000    0.008    0.000 context.py:1648(executing_eagerly)
     8345    0.004    0.000    0.016    0.000 ops.py:5762(get_default_graph)
16291/7121    0.004    0.000    0.072    0.000 contextlib.py:79(__enter__)
    19656    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     4400    0.004    0.000    0.005    0.000 ops.py:792(experimental_ref)
      801    0.004    0.000    3.084    0.004 session.py:850(run)
     9586    0.004    0.000    0.006    0.000 ops.py:4832(_device_function_stack)
      801    0.004    0.000    2.832    0.004 session.py:1320(_do_run)
     2400    0.004    0.000    0.083    0.000 ops.py:701(__hash__)
     2640    0.004    0.000    0.010    0.000 ops.py:3925(name_scope)
     8466    0.004    0.000    0.004    0.000 context.py:688(_mode)
      800    0.003    0.000    0.047    0.000 nest.py:340(flatten_dict_items)
      802    0.003    0.000    0.014    0.000 tensor_shape.py:1050(is_compatible_with)
    38460    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     8345    0.003    0.000    0.004    0.000 ops.py:5170(get_default)
      801    0.003    0.000    0.003    0.000 {built-in method _pywrap_tensorflow_internal.ExtendSession}
     1406    0.003    0.000    0.003    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
    26911    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     4724    0.003    0.000    0.003    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOpType}
     8555    0.003    0.000    0.003    0.000 context.py:706(executing_eagerly)
     1505    0.003    0.000    0.008    0.000 lock_util.py:86(acquire)
     2486    0.003    0.000    0.011    0.000 ops.py:3471(as_graph_element)
     5872    0.003    0.000    0.004    0.000 ops.py:413(graph)
    22256    0.003    0.000    0.003    0.000 context.py:1623(context_safe)
     2025    0.003    0.000    0.003    0.000 tensor_shape.py:185(__init__)
      466    0.003    0.000    0.010    0.000 ops.py:2311(get_attr)
     1480    0.003    0.000    0.003    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
     4233    0.003    0.000    0.011    0.000 ops.py:3720(as_default)
     1505    0.003    0.000    0.009    0.000 lock_util.py:96(release)
     6701    0.003    0.000    0.033    0.000 gzip.py:489(_add_read_data)
     4233    0.003    0.000    0.007    0.000 context.py:1799(graph_mode)
     1846    0.003    0.000    0.003    0.000 _collections_abc.py:742(__iter__)
      336    0.003    0.000    0.003    0.000 {built-in method _pywrap_tensorflow_internal.SetAttr}
     3157    0.003    0.000    0.005    0.000 compat.py:64(as_bytes)
      700    0.003    0.000    0.004    0.000 session.py:329(_uniquify_fetches)
      800    0.002    0.000    0.003    0.000 {built-in method tensorflow_core.python._pywrap_utils.IsSequence}
     1501    0.002    0.000    0.010    0.000 session.py:285(__init__)
     1219    0.002    0.000    0.003    0.000 threading.py:334(notify)
      703    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewOperation}
      801    0.002    0.000    0.020    0.000 session.py:1388(_extend_graph)
      856    0.002    0.000    0.006    0.000 ops.py:5821(_get_graph_from_inputs)
     2971    0.002    0.000    0.003    0.000 pywrap_tensorflow_internal.py:39(_swig_setattr_nondynamic)
     1850    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      600    0.002    0.000    2.867    0.005 vae_tf_mnist.py:132(train)
      800    0.002    0.000    0.011    0.000 session.py:1097(_feed_fn)
     6701    0.002    0.000    0.002    0.000 gzip.py:93(prepend)
     1180    0.002    0.000    0.008    0.000 tensor_shape.py:742(__init__)
    10441    0.002    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     4724    0.002    0.000    0.005    0.000 ops.py:2217(type)
      631    0.002    0.000    0.005    0.000 pywrap_tensorflow_internal.py:1171(__init__)
     1143    0.002    0.000    0.002    0.000 {built-in method _pywrap_tensorflow_internal.TF_SetAttrValueProto}
  1049/34    0.002    0.000    0.005    0.000 abc.py:196(__subclasscheck__)
      703    0.002    0.000    0.002    0.000 ops.py:1824(_reconstruct_sequence_inputs)
